"41101|2016-06-03|2016-06-03|Екатеринбург|Актуальные вопросы анестезии и интенсивной терапии в педиатрии|<b>Тип мероприятия:</b> Конференция (окружная, городская, областная, региональная, межрегиональная, национальная)<br /><b>Адрес:</b> ул. Волгоградская, 185<br /><b>Город:</b> Екатеринбург<br /><b>Организатор:</b> Министерство Здравоохранения Свердловской области<br /><b>Целевая аудитория:</b> Анестезиологи-реаниматологи<br /><b>Адрес проведения:</b><br />";NULL;"0|0|1|2016-05-26 09:54:45|2016-05-26 09:54:45";NULL;NULL;NULL;NULL;NULL;"1";NULL;NULL
"41101|2016-06-30|2016-07-01|Барнаул|Высокие технологии в онкологической практике|<b>Тип мероприятия:</b> Конференция (окружная, городская, областная, региональная, межрегиональная, национальная)<br /><b>Адрес:</b> ""ул. Парковая, 21а, санаторий ""Барнаульский""<br /><b>Город:</b> Барнаул<br /><b>Организатор:</b> Алтайское краевое противораковое общество<br /><b>Целевая аудитория:</b> Онкологи<br /><b>Адрес проведения:</b><br />";NULL;"0|0|1|2016-05-26 09:54:45|2016-05-26 09:54:45";NULL;NULL;NULL;NULL;NULL;"1";NULL;NULL
"41101|2016-06-30|2016-06-30|Воронеж|Паллиативная медицинская помощь в онкологии|<b>Тип мероприятия:</b> Конференция (окружная, городская, областная, региональная, межрегиональная, национальная)<br /><b>Адрес:</b> ул. Владимира Невского, 29<br /><b>Город:</b> Воронеж<br /><b>Организатор:</b> ""БУЗ ВО «Воронежский обл.клин.диспансер""<br /><b>Целевая аудитория:</b> Онкологи<br /><b>Адрес проведения:</b><br />";NULL;"0|0|1|2016-05-26 09:54:45|2016-05-26 09:54:45";NULL;NULL;NULL;NULL;NULL;"1";NULL;NULL
"41101|2016-06-30|2016-07-01|Германия, Мюнхен|Post Asco Melanoma meeting|<b>Тип мероприятия:</b> Международный конгресс<br /><b>Страна:</b> Германия<br /><b>Адрес:</b> Leonardo Royal Hotel, Moosacher Str. 90, 80809 Munchen<br /><b>Город:</b> Мюнхен<br /><b>Организатор:</b> European Association of Dermato-Oncology<br /><b>Целевая аудитория:</b> Онкологи<br /><b>Адрес проведения:</b><br />";NULL;"0|0|1|2016-05-26 09:54:45|2016-05-26 09:54:45";NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL
"41101|2016-06-29|2016-06-30|Саратов|Классика и инновации в травматологии и ортопедии.|<b>Тип мероприятия:</b> Конференция (окружная, городская, областная, региональная, межрегиональная, национальная)<br /><b>Адрес:</b> ул. Чернышевского, 148<br /><b>Город:</b> Саратов<br /><b>Организатор:</b> ""ФГБУ ""СарНИИТО"" Минздрава Росии""<br /><b>Целевая аудитория:</b> Травматологи-ортопеды, хирурги, нейрохирурги, вертебрологи, неврологи, ревматологи<br /><b>Адрес проведения:</b><br />";NULL;"0|0|1|2016-05-26 09:54:45|2016-05-26 09:54:45";NULL;NULL;NULL;NULL;NULL;"1";NULL;NULL
"41101|2016-06-28|2016-06-28|Москва|Рациональный выбор терапии в управлении сахарным диабетом 2 типа|<b>Тип мероприятия:</b> Научно-практическая школа для врачей<br /><b>Адрес:</b> улица Кожевническая, 8 стр. 3, отель Кортъярд Марриотт Павелецкая<br /><b>Город:</b> Москва<br /><b>Организатор:</b> <br /><b>Целевая аудитория:</b> Эндокринологи<br /><b>Адрес проведения:</b><br />";NULL;"0|0|1|2016-05-26 09:54:45|2016-05-26 09:54:45";NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL
"41101|2016-06-26|2016-06-30|Glasgow|10th International Symposium on Pneumococci and Pneumococcal Disease|<b>Тип мероприятия:</b> Международный конгресс<br /><b>Адрес:</b> Glasgow G3 8YW, United Kingdom<br /><b>Город:</b> Glasgow<br /><b>Организатор:</b> ISPPD<br /><b>Целевая аудитория:</b> Педиатры<br /><b>Адрес проведения:</b><br />";NULL;"0|0|1|2016-05-26 09:54:45|2016-05-26 09:54:45";NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL
"41101|2016-06-26|2016-06-30|Шотландия, Glasgow|10th International Symposium on Pneumococci and Pneumococcal Disease|<b>Тип мероприятия:</b> Международный конгресс<br /><b>Страна:</b> Шотландия<br /><b>Адрес:</b> Glasgow G3 8YW, United Kingdom<br /><b>Город:</b> Glasgow<br /><b>Организатор:</b> ISPPD<br /><b>Целевая аудитория:</b> Педиатры<br /><b>Адрес проведения:</b><br />";NULL;"0|0|1|2016-05-26 09:54:45|2016-05-26 09:54:45";NULL;NULL;NULL;NULL;NULL;"0";NULL;NULL
"41101|2016-06-25|2016-06-26|Нижегородская область|АКТУАЛЬНЫЕ  ВОПРОСЫ  ЭНДОКРИНОЛОГИИ|<b>Тип мероприятия:</b> Конференция (окружная, городская, областная, региональная, межрегиональная, национальная)<br /><b>Адрес:</b> ""606401,  Нижегородская область,  Балахнинский район,  пос. Лукино, б/ц ""Волга"".""<br /><b>Город:</b> Нижегородская область<br /><b>Организатор:</b> РООИ «НДЛ»<br /><b>Целевая аудитория:</b> Эндокринологи<br /><b>Адрес проведения:</b><br />";NULL;"0|0|1|2016-05-26 09:54:45|2016-05-26 09:54:45";NULL;NULL;NULL;NULL;NULL;"1";NULL;NULL
"41101|2016-06-25|2016-06-25|Краснодар|Терапевтические проблемы боли |<b>Тип мероприятия:</b> Конференция (окружная, городская, областная, региональная, межрегиональная, национальная)<br /><b>Адрес:</b> ул. Красная 58<br /><b>Город:</b> Краснодар<br /><b>Организатор:</b>  НО Союз врачей Кубани<br /><b>Целевая аудитория:</b> Терапевты, неврологи, ревматологи, хирурги.<br /><b>Адрес проведения:</b><br />";NULL;"0|0|1|2016-05-26 09:54:45|2016-05-26 09:54:45";NULL;NULL;NULL;NULL;NULL;"1";NULL;NULL
